sample_name,13:28607900-28608500,2:25456900-25457400,5:170837300-170837800,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq,unmapped_reads
LEUK5-P1-E10-wellin384plt-107_S62_L001,1479,5613,27,7119,8855,9128,1736
LEUK5-P2-D1-wellin384plt-143_S72_L001,202,1333,111,1646,4564,4642,2918
D0plt-G8-HSC-1-wellin384plt-300_S302_L001,0,20,0,20,2640,2644,2620
LEUK5-P4-B9-wellin384plt-8_S228_L001,0,55,0,55,1809,1818,1754
LEUK5-P2-B11-wellin384plt-261_S99_L001,787,55,0,842,1166,1182,324
LEUK5-P1-C6-wellin384plt-65_S49_L001,2751,6045,32,8828,9944,10164,1116
D0plt-H6-HSC-1-wellin384plt-270_S295_L001,1,124,0,125,2443,2452,2318
LEUK5-P5-B10-wellin384plt-152_S356_L001,4,42,2,48,2104,2116,2056
LEUK5-P5-D4-wellin384plt-94_S343_L001,0,581,1,582,2682,2716,2100
LEUK5-P1-B11-wellin384plt-113_S153_L001,5266,2726,413,8405,9113,9376,708
LEUK5-P5-D5-wellin384plt-108_S254_L001,0,4837,0,4837,5981,6218,1144
LEUK5-P2-G12-wellin384plt-275_S194_L001,330,648,61,1039,2885,2912,1846
LEUK5-P5-D7-wellin384plt-128_S352_L001,1,12,0,13,1829,1836,1816
LEUK5-P4-F1-wellin384plt-287_S200_L001,0,32,0,32,2488,2492,2456
LEUK5-P4-C6-wellin384plt-345_S213_L001,0,0,0,0,4,4,4
LEUK5-P1-F9-wellin384plt-101_S59_L001,4390,3471,99,7960,8902,9132,942
LEUK5-P4-F7-wellin384plt-367_S128_L001,0,18,0,18,2516,2522,2498
LEUK5-P4-D9-wellin384plt-12_S230_L001,1,14,0,15,2073,2080,2058
D0plt-B5-HSC-1-wellin384plt-242_S377_L001,0,0,0,0,40,40,40
D0plt-C12-HSC-1-wellin384plt-356_S314_L001,2,46,0,48,1896,1912,1848
LEUK5-P4-F3-wellin384plt-313_S205_L001,388,3386,23,3797,4071,4196,274
LEUK5-P5-C10-wellin384plt-154_S357_L001,26,1519,32,1577,4593,4664,3016
D0plt-A11-HSC-1-wellin384plt-336_S312_L001,0,18,0,18,1732,1736,1714
NTC-wellin384plt-370_S409_L001,0,2,0,2,4,4,2
LEUK5-P2-H5-wellin384plt-199_S84_L001,14,343,14,371,4203,4218,3832
D0plt-E3-GMP-1-wellin384plt-216_S372_L001,0,6,0,6,1878,1882,1872
D0plt-D9-HSC-1-wellin384plt-310_S395_L001,1,18,0,19,1981,1988,1962
LEUK5-P2-E7-wellin384plt-219_S182_L001,8,170,2,180,2070,2084,1890
LEUK5-P1-D6-wellin384plt-67_S50_L001,443,1512,4,1959,2057,2124,98
LEUK5-P1-E12-wellin384plt-133_S67_L001,729,284,14,1027,1775,1808,748
LEUK5-P5-B9-wellin384plt-146_S353_L001,0,6,0,6,18,18,12
LEUK5-P5-E4-wellin384plt-96_S344_L001,0,14,0,14,1496,1502,1482
D0plt-H8-HSC-1-wellin384plt-302_S303_L001,2,151,0,153,2437,2452,2284
LEUK5-P1-E2-wellin384plt-19_S130_L001,1352,2753,44,4149,5155,5262,1006
LEUK5-P1-D3-wellin384plt-31_S136_L001,1344,1545,15,2904,3532,3624,628
LEUK5-P5-E7-wellin384plt-130_S257_L001,3,57,0,60,2058,2070,1998
LEUK5-P1-C11-wellin384plt-115_S154_L001,5271,1640,8,6919,8259,8452,1340
LEUK5-P2-A8-wellin384plt-225_S89_L001,2,8,0,10,2044,2048,2034
LEUK5-P4-F10-wellin384plt-30_S327_L001,166,2078,24,2268,3720,3776,1452
LEUK5-P4-G7-wellin384plt-369_S217_L001,58,2228,0,2286,4580,4686,2294
LEUK5-P1-D12-wellin384plt-131_S66_L001,331,266,0,597,645,662,48
D0plt-H7-HSC-1-wellin384plt-286_S391_L001,0,4957,0,4957,7039,7176,2082
D0plt-F10-HSC-1-wellin384plt-330_S309_L001,0,2,0,2,90,90,88
D0plt-B1-GMP-1-wellin384plt-178_S361_L001,0,0,0,0,6,6,6
LEUK5-P5-G4-wellin384plt-100_S250_L001,2,34,0,36,126,132,90
LEUK5-P4-H12-wellin384plt-58_S333_L001,6,5416,0,5422,8300,8504,2878
D0plt-C11-HSC-1-wellin384plt-340_S402_L001,0,1,0,1,47,48,46
LEUK5-P1-E3-wellin384plt-33_S41_L001,1050,376,11,1437,1523,1552,86
D0plt-E12-HSC-1-wellin384plt-360_S316_L001,0,34,0,34,64,66,30
LEUK5-P1-G5-wellin384plt-57_S141_L001,734,1404,189,2327,3831,3904,1504
LEUK5-P1-D9-wellin384plt-97_S57_L001,4127,4696,35,8858,9786,9984,928
D0plt-G11-HSC-1-wellin384plt-348_S406_L001,0,22,2,24,2096,2098,2072
