Sort_id,All Events FSC-A Median,All Events FSC-W Median,All Events SSC-A Median,All Events CD33 640 670/30-A Median,All Events CD45RA 640 730/45-A Median,All Events CD34 640 780/60-A Median,All Events CD90 561 582/15-A Median,All Events CD49F 561 670/14-A Median,All Events CD38 561 780/60-A Median,All Events Lin 488 530/30-A Median,All Events CD7/10 V405 450/50-A Median,All Events L/D V405 525/50-A Median,All Events CD45 V405 780/60-A Median,All Events Time Median,Cell_seeded
3_G2,79961,96973,106195,168,130,2375,360,1072,58,1184,8003,277,1995,35800,HSC
3_G3,108829,86186,47155,92,132,1977,-99,1862,-29,350,31543,178,1467,35992,HSC
3_G4,123711,88776,68237,14,43,1684,994,1591,13,437,6323,187,1241,36187,HSC
3_G5,115814,87530,69904,97,35,1884,4835,724,125,639,3601,258,3398,36380,HSC
3_G6,125126,86514,51538,137,38,871,21,614,95,1449,2717,121,1388,36580,HSC
3_G7,109718,83603,61543,270,34,3094,43,2204,-104,240,9801,198,1994,36780,HSC
3_G8,130283,87994,62501,167,98,2243,3413,469,26,632,19934,244,2657,36995,HSC
3_G9,135133,90902,52712,354,28,757,163,9052,-79,868,2140,249,1759,37193,HSC
3_G10,116210,87853,58709,122,19,2567,110,939,-134,424,7891,184,975,37386,HSC
3_G11,85158,81042,70460,1,16,3382,63,1801,-108,224,12402,175,1485,37577,HSC
3_G12,106425,85958,76820,127,61,4498,92,6052,-244,170,11736,252,1365,37770,HSC
3_H1,111554,84540,51672,33,95,2948,103,4684,-86,406,17963,337,1792,40214,HSC
